WORD,IND_TF
库卡,0.5076923076923077
美的,0.46610467158412366
九阳,0.2517482517482518
制造业,0.10559759874828367
互联网,0.09889197560430438
李东生,0.0958904109589041
kuka,0.09230769230769231
半段,0.07692307692307693
沿用,0.07692307692307693
独立性,0.07692307692307693
辞退,0.07692307692307693
豆浆机,0.055944055944055944
家电,0.03990165086055497
小厨,0.03496503496503497
手机,0.0319634703196347
通讯,0.0319634703196347
网易,0.03076923076923077
健康,0.028671328671328673
科研,0.027972027972027972
阿尔卡特,0.0273972602739726
国人,0.02097902097902098
工匠,0.02097902097902098
新闻联播,0.02097902097902098
andy,0.015384615384615385
committee,0.015384615384615385
electric,0.015384615384615385
gu,0.015384615384615385
hover,0.015384615384615385
investment,0.015384615384615385
nt,0.015384615384615385
states,0.015384615384615385
trade,0.015384615384615385
united,0.015384615384615385
东芝,0.015384615384615385
为的是,0.015384615384615385
争论,0.015384615384615385
从量,0.015384615384615385
优先选择,0.015384615384615385
其向,0.015384615384615385
半月,0.015384615384615385
处境,0.015384615384615385
夏天,0.015384615384615385
天门山,0.015384615384615385
安川,0.015384615384615385
德国政府,0.015384615384615385
清除,0.015384615384615385
电子设备,0.015384615384615385
电机,0.015384615384615385
落入,0.015384615384615385
视作,0.015384615384615385
高科技,0.015384615384615385
之星,0.013986013986013986
光明日报,0.013986013986013986
全员,0.013986013986013986
发明,0.013986013986013986
发明人,0.013986013986013986
小家电,0.013986013986013986
真经,0.013986013986013986
豆浆,0.013986013986013986
饮食,0.013986013986013986
齐聚,0.013986013986013986
彩电,0.0136986301369863
传讯,0.0091324200913242
开端,0.0091324200913242
服务业,0.0091324200913242
终端产品,0.0091324200913242
通信,0.0091324200913242
重生,0.0091324200913242
一杯,0.006993006993006993
专心,0.006993006993006993
专电,0.006993006993006993
两分钟,0.006993006993006993
之道,0.006993006993006993
人民政协,0.006993006993006993
代言人,0.006993006993006993
倾力,0.006993006993006993
厚爱,0.006993006993006993
发表文章,0.006993006993006993
国际标准,0.006993006993006993
地道,0.006993006993006993
基因,0.006993006993006993
大写,0.006993006993006993
央广网,0.006993006993006993
头版头条,0.006993006993006993
奥秘,0.006993006993006993
始终如一,0.006993006993006993
家喻户晓,0.006993006993006993
家电业,0.006993006993006993
小小,0.006993006993006993
工商时报,0.006993006993006993
形象大使,0.006993006993006993
恰好,0.006993006993006993
数亿,0.006993006993006993
求解,0.006993006993006993
炒菜,0.006993006993006993
点赞,0.006993006993006993
炼成,0.006993006993006993
版面,0.006993006993006993
牢固,0.006993006993006993
电饭煲,0.006993006993006993
盛赞,0.006993006993006993
科研成果,0.006993006993006993
秘密,0.006993006993006993
精益求精,0.006993006993006993
署名文章,0.006993006993006993
美味,0.006993006993006993
苹果,0.006993006993006993
血脉,0.006993006993006993
解密,0.006993006993006993
软硬,0.006993006993006993
这篇,0.006993006993006993
重于泰山,0.006993006993006993
wto,0.0045662100456621
一番,0.0045662100456621
一马平川,0.0045662100456621
不断前进,0.0045662100456621
专利申请,0.0045662100456621
业在,0.0045662100456621
丧失,0.0045662100456621
中说,0.0045662100456621
仍以,0.0045662100456621
借用,0.0045662100456621
借着,0.0045662100456621
偏差,0.0045662100456621
先导,0.0045662100456621
关键部件,0.0045662100456621
军工,0.0045662100456621
减退,0.0045662100456621
刻意,0.0045662100456621
化已,0.0045662100456621
化率,0.0045662100456621
华为,0.0045662100456621
华星,0.0045662100456621
华瑞,0.0045662100456621
历年,0.0045662100456621
变坏,0.0045662100456621
名副其实,0.0045662100456621
告终,0.0045662100456621
坎坷,0.0045662100456621
多一些,0.0045662100456621
大王,0.0045662100456621
失误,0.0045662100456621
奠基,0.0045662100456621
客观事实,0.0045662100456621
工序,0.0045662100456621
年营,0.0045662100456621
并存,0.0045662100456621
意想不到,0.0045662100456621
扮演着,0.0045662100456621
技术革新,0.0045662100456621
抵住,0.0045662100456621
抵挡,0.0045662100456621
拭目以待,0.0045662100456621
持续上升,0.0045662100456621
指导性,0.0045662100456621
挫折,0.0045662100456621
摩托罗拉,0.0045662100456621
撤离,0.0045662100456621
数控,0.0045662100456621
无门,0.0045662100456621
日企,0.0045662100456621
旧账,0.0045662100456621
早早,0.0045662100456621
普及率,0.0045662100456621
曹德旺,0.0045662100456621
曾一度,0.0045662100456621
有钱,0.0045662100456621
标志性,0.0045662100456621
格力,0.0045662100456621
沉重,0.0045662100456621
没能,0.0045662100456621
潜规则,0.0045662100456621
激情,0.0045662100456621
照明,0.0045662100456621
申请量,0.0045662100456621
电池,0.0045662100456621
痛苦,0.0045662100456621
磨合,0.0045662100456621
福耀,0.0045662100456621
税负,0.0045662100456621
空穴来风,0.0045662100456621
第三产业,0.0045662100456621
第二产业,0.0045662100456621
纲领,0.0045662100456621
经验教训,0.0045662100456621
美等,0.0045662100456621
群为,0.0045662100456621
背上,0.0045662100456621
脱虚向实,0.0045662100456621
腾讯,0.0045662100456621
苦战,0.0045662100456621
裁掉,0.0045662100456621
要慢,0.0045662100456621
诱惑,0.0045662100456621
诺基亚,0.0045662100456621
起初,0.0045662100456621
转型期,0.0045662100456621
过火,0.0045662100456621
这会,0.0045662100456621
避开,0.0045662100456621
部品,0.0045662100456621
金能,0.0045662100456621
铺垫,0.0045662100456621
销声匿迹,0.0045662100456621
阻挡,0.0045662100456621
预防措施,0.0045662100456621
风气,0.0045662100456621
