WORD,IND_TF
万科,0.08325219084712757
之争,0.05384615384615385
人寿,0.044790652385589096
家化,0.038461538461538464
保险,0.02804284323271665
东方集团,0.023076923076923078
宝能系,0.023076923076923078
硝烟,0.023076923076923078
两度,0.021713729308666017
宝能,0.021713729308666017
恒大,0.021713729308666017
格力电器,0.021713729308666017
各路,0.015384615384615385
四起,0.015384615384615385
国华人寿,0.015384615384615385
宝万之争,0.015384615384615385
瞩目,0.015384615384615385
刘小菲,0.014021421616358325
吉林敖东,0.014021421616358325
大手笔,0.014021421616358325
扫货,0.014021421616358325
阳光,0.014021421616358325
