INDUSTRY,HEAT
交通运输,3.681950480085887
石油石化,3.52884530716169
传媒,2.674368097781263
家电,2.667451083300527
食品饮料,2.6495022600127003
非银行金融,2.3309784118512966
基础化工,1.7151755693337696
有色金属,1.4923164441769257
计算机,1.4923164441769254
煤炭,1.395018904853662
汽车,1.3850703787447634
机械,1.2508990959685762
银行,1.2421342281137786
医药,1.2130146489374685
房地产,1.1861738371286512
电子,1.118466789805649
nan,1.1184033827998956
国防军工,0.9034638518481659
消费者服务,0.9034638518481659
钢铁,0.8202472354820355
通信,0.6899357484209968
电力设备及新能源,0.6869886174357063
建筑,0.6139789362709142
农林牧渔,0.5704642972949491
