WORD,IND_TF
建厂,0.10084033613445378
钢厂,0.09243697478991597
钢企,0.05042016806722689
环保,0.03361344537815126
铁矿石,0.03361344537815126
钢铁业,0.025210084033613446
宝钢,0.02106158919263908
中层,0.01680672268907563
外矿,0.01680672268907563
宣传部,0.01680672268907563
铁矿,0.01680672268907563
不划算,0.008403361344537815
不太好,0.008403361344537815
不易,0.008403361344537815
之重,0.008403361344537815
人工成本,0.008403361344537815
以稳,0.008403361344537815
伺机而动,0.008403361344537815
元凶,0.008403361344537815
充分考虑,0.008403361344537815
再也,0.008403361344537815
刘畅,0.008403361344537815
别提,0.008403361344537815
变量,0.008403361344537815
吃亏,0.008403361344537815
国门,0.008403361344537815
图谱,0.008403361344537815
基础设施,0.008403361344537815
大打折扣,0.008403361344537815
太多,0.008403361344537815
好不容易,0.008403361344537815
始于,0.008403361344537815
始料未及,0.008403361344537815
宝钢集团,0.008403361344537815
实地考察,0.008403361344537815
富矿,0.008403361344537815
对国,0.008403361344537815
帽子,0.008403361344537815
建设周期,0.008403361344537815
形容,0.008403361344537815
总编,0.008403361344537815
意志,0.008403361344537815
愿望,0.008403361344537815
投入产出,0.008403361344537815
折腾,0.008403361344537815
担子,0.008403361344537815
推延,0.008403361344537815
无形中,0.008403361344537815
无果,0.008403361344537815
柬埔寨,0.008403361344537815
步履维艰,0.008403361344537815
河谷,0.008403361344537815
消费国,0.008403361344537815
淡水,0.008403361344537815
物力,0.008403361344537815
牵涉,0.008403361344537815
环境变,0.008403361344537815
矿价,0.008403361344537815
符合要求,0.008403361344537815
索性,0.008403361344537815
细致,0.008403361344537815
经不起,0.008403361344537815
而终,0.008403361344537815
耗时,0.008403361344537815
背负,0.008403361344537815
艰辛,0.008403361344537815
运输,0.008403361344537815
钢铁企业,0.008403361344537815
钢铁公司,0.008403361344537815
钢铁网,0.008403361344537815
铁路,0.008403361344537815
难料,0.008403361344537815
难有,0.008403361344537815
非常重视,0.008403361344537815
预想,0.008403361344537815
风俗习惯,0.008403361344537815
