WORD,IND_TF
库卡,0.5076923076923077
美的,0.46153846153846156
kuka,0.09230769230769231
半段,0.07692307692307693
沿用,0.07692307692307693
独立性,0.07692307692307693
辞退,0.07692307692307693
网易,0.03076923076923077
andy,0.015384615384615385
committee,0.015384615384615385
electric,0.015384615384615385
gu,0.015384615384615385
hover,0.015384615384615385
investment,0.015384615384615385
nt,0.015384615384615385
states,0.015384615384615385
trade,0.015384615384615385
united,0.015384615384615385
东芝,0.015384615384615385
为的是,0.015384615384615385
争论,0.015384615384615385
从量,0.015384615384615385
优先选择,0.015384615384615385
其向,0.015384615384615385
半月,0.015384615384615385
处境,0.015384615384615385
夏天,0.015384615384615385
天门山,0.015384615384615385
安川,0.015384615384615385
德国政府,0.015384615384615385
清除,0.015384615384615385
电子设备,0.015384615384615385
电机,0.015384615384615385
落入,0.015384615384615385
视作,0.015384615384615385
高科技,0.015384615384615385
