INDUSTRY,HEAT
交通运输,1.108377537055248
石油石化,1.062288287513744
传媒,0.8050650168789831
家电,0.8029827880398395
食品饮料,0.7975796538433316
非银行金融,0.7016944212124295
基础化工,0.5163192941995111
有色金属,0.4492320127198676
计算机,0.4492320127198676
煤炭,0.4199425348792697
汽车,0.4169477301078449
机械,0.37655814943549837
银行,0.37391966130317345
医药,0.36515379450999175
房地产,0.35707390504756575
电子,0.33669205288550147
nan,0.3366729654748344
国防军工,0.2719697194044171
消费者服务,0.2719697194044171
钢铁,0.24691902174054972
通信,0.2076913553555983
电力设备及新能源,0.20680418052787508
建筑,0.1848260765234091
农林牧渔,0.17172686494115458
