INDUSTRY,HEAT
航空机场,1.108377537055248
石油开采Ⅱ,1.062288287513744
黑色家电Ⅱ,1.0047270141941853
媒体,0.8099569394385273
酒类,0.7975796538433316
白色家电Ⅱ,0.788678646247126
证券Ⅱ,0.7051017541304495
其他化学制品Ⅱ,0.6743367504827837
专用机械,0.5279242879007672
化学纤维,0.5215924641476667
生物医药Ⅱ,0.5034213446005533
种植业,0.4492320127198676
稀有金属Ⅱ,0.4492320127198676
计算机设备,0.4492320127198676
计算机软件,0.4492320127198676
煤炭开采洗选,0.4199425348792697
汽车零部件Ⅱ,0.4169477301078449
全国性股份制银行Ⅱ,0.3955094357159653
保险Ⅱ,0.3874869283694377
房地产开发和运营,0.35707390504756575
小家电Ⅱ,0.34151032935340303
元器件,0.33669205288550147
nan,0.3366729654748344
其他军工Ⅱ,0.2719697194044171
酒店及餐饮,0.2719697194044171
普钢,0.24706438165981026
增值服务Ⅱ,0.24128695739744552
工程机械Ⅱ,0.23311180998124267
电气设备,0.20799974577789598
食品,0.20799974577789598
通信设备,0.18989703775807207
畜牧业,0.18840101634709921
其他钢铁,0.18098313110344064
建筑施工,0.18098313110344064
