,石油石化,煤炭,有色金属,电力及公用事业,钢铁,基础化工,建筑,建材,轻工制造,机械,电力设备及新能源,国防军工,汽车,商贸零售,消费者服务,家电,纺织服装,医药,农林牧渔,银行,房地产,交通运输,电子,通信,计算机,传媒,综合金融,酒类,饮料,食品,证券Ⅱ,保险Ⅱ,多元金融
20130106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
20130113,1.0498565905618018,1.2036964691902128,0.884025734899762,0.874872036914373,1.2655213337228766,0.8903058891576915,0.9677234295614618,0.7576198734546472,0.7632073316970688,1.142598372770392,1.0173489443627417,1.224128558464794,0.867563708635291,0.9873691976136931,1.1910083081679694,0.9514240875618926,0.9791807690964913,1.0542650930842958,0.9840701367911541,1.1333701544249144,0.9464268552466895,1.0006973795001994,0.8969208288545728,0.9325523067527021,1.2735203794084196,1.022689405370324,,,,,,,
20130120,0.8768159996877009,1.1605937364863028,0.8472482359097505,0.9196099844926667,1.0425185991089065,1.0221037115215845,0.9293814050920398,0.858101910514121,0.9461870241486373,1.1294149401321234,1.038974091235461,1.2300247957264645,0.8946292434012815,1.0050498419331289,1.1081276199432732,1.0334119727290825,1.0677955654574403,0.8846548429098606,0.9378925415078396,1.1140379886744727,0.8398405936614856,0.9473245108360523,0.8682457209108477,0.8971863949995714,1.1714173798217393,0.9789208689684373,,,,,,,
20130127,0.8912566467807443,1.0822142419763296,0.8509415224159503,0.9999352613935151,1.0052589845660727,0.9427227676004907,0.9165027198136325,1.1343490374962246,0.8996361349367062,1.0260528510529265,1.022539828886185,0.9580913774868782,0.9077361962417344,1.0138768949750339,1.0794144182006642,1.0057785947161657,1.0959462313557424,1.0189679814168275,1.0172110772835488,1.0554010389516426,1.0115375375197542,1.0092124719804527,0.930042883604919,1.0467968817882145,1.0525536575280725,0.8165986512340053,,,,,,,
20130203,0.8950892129855201,1.064387079199762,0.8628406295053499,0.8708070013620168,1.053531675123537,1.1201447233711808,0.8871187360095544,0.9908564055007039,1.213323661626652,0.9906646254591364,0.9459924461711069,0.8778062910942196,0.7817397019681971,0.9107603888815687,1.1305415812905746,0.8802893854731569,1.2249505530301155,0.8996815082030267,1.0069009141095009,1.0739522253991205,0.9145234580671097,0.969494993765009,0.9073027801957303,0.8869417018042858,1.1024101314286017,0.744568042378637,,,,,,,
20130210,1.0699619867861794,0.9899170092904074,0.8374641972807715,0.7163816604139768,1.1040241572594398,1.0792456460699198,0.8231673989765467,0.8591742689913402,1.1885400407950173,1.0403295746588068,1.0321194697236753,0.7982217018721145,1.026118066388326,0.8674519230593257,1.1752417555557144,0.7075868587115746,1.0595789389108736,1.0069750908396238,0.7757128281482488,1.1605822170830555,1.1918537809880982,0.930403357789577,0.8997425067522719,0.8012093902177634,1.0996018073506115,0.9201420540923745,,,,,,,
20130217,1.8220664062069707,1.6423910160832955,1.2086648377166898,1.072099038433463,1.055198740690515,0.8133466500978196,0.8249362037792646,0.6926337895801454,0.803021342248896,0.20085466020625084,0.26684264342795133,1.3470539947979694,1.2370926055804345,0.830942636988257,1.6074677660042926,1.4658389468508422,0.80573457504667,0.7475364444396185,1.3331503945573113,1.4791668100052893,1.339609860452396,1.0886026737034684,0.7631029717064685,1.1325723329371369,0.18040774048712976,2.0323255447280464,,,,,,,
20130224,0.7899726661632835,0.8875497775814843,0.952472110242786,0.896399771484729,1.038565749674794,1.1761274396806762,0.8129063995802762,0.7988292149860788,1.1256268716992754,1.306610092503283,1.0523277165050238,0.7955745114619631,0.7886771252378169,1.241006657078437,0.9794661380588665,0.9111474138233259,1.0850814834525653,1.3217621070325558,0.8544869643386999,0.8762349093794599,0.8645186469161272,0.8605811941960687,0.9145052777604555,0.925925791371468,1.1352043397278941,0.7093269899676711,,,,,,,
20130303,0.6482868767321023,0.8051972057432232,0.7847859281049827,0.7266591942830972,0.9254627069055443,1.5013978235605705,0.7035222399637038,0.7972628194343682,1.354063762657781,1.0420186348773315,0.9570646313229711,0.8032406337374506,0.8426846768276781,0.9730961436356438,0.7893869741351491,0.9220896073626041,1.6129396629168982,1.1218536404090167,0.7607913887396917,0.8466329455524082,0.7578331756330208,0.7266095913816683,0.9590894940905532,0.7786578302927334,1.069107480237151,1.043707249991117,,,,,,,
20130310,0.7536679461327102,0.8183734977488483,0.9012890115590346,0.9119999710683304,0.9346470555252739,1.0322683223885152,1.0338030199171713,0.934726816445813,1.0259069245712398,1.2385692509484216,1.0692458642986915,0.8524076871060211,0.7077331042646045,1.1137915608065296,0.8588692022851555,1.0648870653753917,1.0178743582746608,1.1702340760327332,0.9341617968451998,0.9814701178031027,1.0034385654822828,0.9694826919739061,0.8076837559891763,1.0150588670929515,1.235710932350185,1.3529651937676184,,,,,,,
20130317,0.7275771085520334,0.6532456894809084,0.9835352713551277,0.9058560344719683,0.7797224178157938,1.4065886683036892,0.8605578703406372,0.6665508964997209,1.3892315598793168,1.3117327699648873,1.29212859355,0.70642787000067,0.6810938582721384,0.8949831698988104,0.7511445581430753,0.7760290881179557,1.2272158772034065,1.0226609027779172,0.8766253587002196,0.7657475287118763,0.6943545618167084,0.7193453969532787,0.8368297686073497,0.809372025234049,1.2258137833835587,1.1780643353827331,,,,,,,
