INDUSTRY,HEAT
基础化工,0.0003821859031799332
综合,0.00032262849429462724
纺织服装,0.0003203046996287809
轻工制造,0.00029198007071241596
有色金属,0.00028197762910368184
电子,0.0002704665814199272
医药,0.00026886308766198346
建材,0.0002688606006819007
电力及公用事业,0.0002584038936215622
机械,0.00023731519558992928
商贸零售,0.00023228393722460103
电力设备及新能源,0.00023227890469860928
建筑,0.0002267967693738643
国防军工,0.0002249077459726839
交通运输,0.00022239517414508013
房地产,0.0002167234385506726
煤炭,0.00021353714303818427
石油石化,0.00020175473574504711
农林牧渔,0.00019875830987475132
nan,0.00018356039252677268
消费者服务,0.00017701882095286976
食品饮料,0.00016510822846096991
通信,0.00015295796702562899
计算机,0.0001513216694981219
家电,0.00014626104632519413
银行,0.00013829800788644835
钢铁,0.00010214032858130181
非银行金融,9.469933854280827e-05
传媒,9.368294388284705e-05
汽车,6.50954007010097e-05
