INDUSTRY,HEAT
基础化工,0.00032036048117481365
轻工制造,0.00024687725455048426
纺织服装,0.00022358337443719999
消费者服务,0.00017627347952767214
电力设备及新能源,0.00016626266362010212
机械,0.00016250027439595967
煤炭,0.0001458042145867862
医药,0.00014022371497406382
房地产,0.0001304236885046138
钢铁,0.0001278367152808154
有色金属,0.00012191323932276996
食品饮料,0.00011406013447687015
计算机,0.00010360147601960986
电子,9.801719240405191e-05
银行,9.630432975460062e-05
nan,9.268873512438792e-05
综合,9.157079570497776e-05
石油石化,8.900100394854448e-05
商贸零售,8.42722969435976e-05
非银行金融,8.113116371555704e-05
国防军工,7.908316688482447e-05
电力及公用事业,7.769894050501218e-05
建材,7.571693400032541e-05
农林牧渔,7.457549432220186e-05
家电,7.429018396388297e-05
交通运输,6.832627499460364e-05
建筑,6.6627809554968e-05
通信,5.606421535039161e-05
传媒,4.792444173463625e-05
汽车,3.555998695386214e-05
