INDUSTRY,HEAT
基础化工,0.0002731650123339683
电力设备及新能源,0.00024809791018510195
轻工制造,0.00022684522681053204
机械,0.00022675548080057875
纺织服装,0.0002202950749819592
计算机,0.0001969705084514603
消费者服务,0.0001935263866487831
综合,0.00015730058444586527
医药,0.00015578185994298094
电子,0.00015281260067809824
有色金属,0.00015073905115284468
房地产,0.00013380942177927633
电力及公用事业,0.00013030745431068716
煤炭,0.0001292658066772748
石油石化,0.00012490942094984004
食品饮料,0.00012248167472124987
商贸零售,0.0001221401652717767
银行,0.0001214748048622367
国防军工,0.00011876290191874687
建材,0.00011578990903724684
建筑,0.00011323028926667882
传媒,0.00010774919955884257
nan,0.0001076904788995436
非银行金融,0.00010428966824376615
钢铁,0.00010024984107081271
农林牧渔,9.319801065650126e-05
交通运输,9.238749339983524e-05
通信,9.081081037597805e-05
家电,8.010622998384654e-05
汽车,5.5081628650918455e-05
