INDUSTRY,HEAT
基础化工,0.0002792430783047222
纺织服装,0.0002459916632183998
轻工制造,0.00024299649618149044
电力设备及新能源,0.00016124889020903654
房地产,0.0001543405072566183
机械,0.00015391652375251665
煤炭,0.00015026571591329415
消费者服务,0.00014788402750500796
有色金属,0.00014010237253331108
医药,0.00013452613416982924
食品饮料,0.000125628004454468
石油石化,0.00012456392610857842
银行,0.00012421488228233973
计算机,0.00011116669965834846
钢铁,0.00010494841488098495
非银行金融,9.970797741368376e-05
电力及公用事业,9.854701629008998e-05
综合,9.64613284981006e-05
电子,9.515896451402762e-05
交通运输,8.809352930532914e-05
建筑,8.788445602134169e-05
建材,8.62187774492334e-05
国防军工,8.589160725237482e-05
nan,7.903410269086218e-05
商贸零售,7.814081746875354e-05
农林牧渔,7.610258033549831e-05
通信,6.609759270907675e-05
家电,5.347916649340348e-05
传媒,4.950944531942504e-05
汽车,4.5197215714655646e-05
