INDUSTRY,HEAT
基础化工,0.0004921863504011445
纺织服装,0.000396210051243005
轻工制造,0.0003736263165137006
综合,0.0003477519626641088
建材,0.00034369595006359993
有色金属,0.00031088693821094136
电子,0.00030332700275020706
电力及公用事业,0.000302162801579946
国防军工,0.00029005868687799827
医药,0.0002844573275900137
机械,0.0002766055280575805
电力设备及新能源,0.0002736285097040297
建筑,0.0002638894858168802
商贸零售,0.0002614296755106832
交通运输,0.00025152725884081004
房地产,0.00023059149424406122
煤炭,0.00022913045346778502
石油石化,0.0002206882751232091
农林牧渔,0.0002126827471884423
nan,0.00021038367587076947
食品饮料,0.00020319167560800514
消费者服务,0.00017700336177581144
通信,0.00017669401620824988
家电,0.00016516083453355603
计算机,0.00016497104358196966
银行,0.00015065169756045375
非银行金融,9.41785218955987e-05
钢铁,8.686152432014734e-05
传媒,8.308171619926389e-05
汽车,6.898879720689579e-05
