INDUSTRY,HEAT
综合,0.0024394550488748383
商贸零售,0.001970803810263661
医药,0.0017566158088139223
电力及公用事业,0.0011994863563756398
有色金属,0.0011796329135050547
建材,0.0011197910749086433
电子,0.001115700590755982
国防军工,0.0009709665296914592
建筑,0.0009311372186932747
农林牧渔,0.0008363632071116462
交通运输,0.0008297978731046107
房地产,0.0007947140307537588
石油石化,0.0007559472873382896
食品饮料,0.0007412749507485241
通信,0.0007156836179786283
家电,0.0006913412881615894
银行,0.00039660884053259145
基础化工,0.0003160061739041046
轻工制造,0.0002925778966524733
纺织服装,0.0002470103583828889
电力设备及新能源,0.00021857798416664035
机械,0.00020294085362083415
计算机,0.00019393380367311441
煤炭,0.0001638463663250015
消费者服务,0.00015037355567812746
传媒,0.00011343622960263594
nan,0.000104695125161815
钢铁,8.696838808446773e-05
汽车,8.229749055545406e-05
非银行金融,8.197847728194481e-05
