INDUSTRY,HEAT
机械,0.00021782599205297205
电力设备及新能源,0.00021509977320018555
计算机,0.0002114787640932798
基础化工,0.00020241420605797043
nan,0.00019379453667178666
纺织服装,0.0001727586951269972
轻工制造,0.0001709543400985059
国防军工,0.00014925606955457776
消费者服务,0.0001255597530628783
电子,0.00012117323244258604
房地产,0.00011958449954362314
综合,0.00011858225081443516
医药,0.00010953481825782867
有色金属,0.00010842496631695705
建材,9.930015272078006e-05
煤炭,9.838178370285883e-05
电力及公用事业,9.601525573490089e-05
石油石化,9.365918258503996e-05
银行,9.259229097461202e-05
商贸零售,8.976030110157708e-05
钢铁,8.694119257961753e-05
建筑,8.606419471704375e-05
农林牧渔,7.844138945881335e-05
交通运输,7.584101072705524e-05
食品饮料,7.290847570991357e-05
非银行金融,6.993635726649317e-05
通信,6.498092333628302e-05
传媒,6.15405962522207e-05
家电,5.6742108670774155e-05
汽车,5.517591459279542e-05
