INDUSTRY,HEAT
综合,0.003309321052729488
商贸零售,0.002710205558679975
医药,0.0023753009860746008
电力及公用事业,0.0016129946150992302
有色金属,0.001581707569205094
建材,0.0015159003586978984
电子,0.001478787970774304
国防军工,0.0013404408790523592
建筑,0.0012518987677119858
农林牧渔,0.001134156765934569
交通运输,0.0011258453880207278
房地产,0.0010585405915477977
石油石化,0.000997519634346479
通信,0.0009774070699961907
食品饮料,0.0009736389934918559
家电,0.0009351651456026926
银行,0.0005007482674670528
基础化工,0.0004029533422702317
机械,0.00032983602852427584
电力设备及新能源,0.000323349245378365
轻工制造,0.0003194237512365073
纺织服装,0.00031028232073867634
计算机,0.00022887638168940478
消费者服务,0.0001476629469551431
煤炭,0.00013457188403776047
非银行金融,9.791276385880216e-05
nan,9.456794541786194e-05
传媒,9.218047475151526e-05
钢铁,7.859090131475802e-05
汽车,7.011903383109745e-05
