INDUSTRY,HEAT
基础化工,0.0003433759144510384
机械,0.0002670036261457621
纺织服装,0.0002621661286365811
电力设备及新能源,0.0002479521685964118
轻工制造,0.0002390246971574684
nan,0.0002195339715222114
电子,0.00020212451701482695
综合,0.00019178762765118847
计算机,0.00018250135381471928
有色金属,0.00017051003738531166
房地产,0.000167591779739602
医药,0.00016716243063243897
消费者服务,0.00016545773591427826
建材,0.000155717016535058
煤炭,0.00014274526417838246
建筑,0.00014246507228605918
石油石化,0.00014172528967593538
商贸零售,0.00013051096800807685
国防军工,0.00012623502901388834
电力及公用事业,0.00012497823730168122
钢铁,0.000122368633784668
食品饮料,0.00011996164574263848
汽车,0.00010802551487146744
农林牧渔,0.0001036275758026615
银行,9.743839035455896e-05
交通运输,9.120980514596794e-05
通信,8.642690898986958e-05
家电,8.510418262768223e-05
非银行金融,8.328164862353638e-05
传媒,7.820471233883963e-05
