INDUSTRY,HEAT
综合,0.0017425292734631424
商贸零售,0.0014288671448133583
医药,0.0012469026503406193
电力及公用事业,0.0008688864783217637
有色金属,0.0008647912484942281
建材,0.0008095303891353481
电子,0.0008028466174968115
国防军工,0.0007250394344227117
建筑,0.0006902562867852957
农林牧渔,0.0006231809633426872
交通运输,0.000613870224023476
房地产,0.0006035267432928107
石油石化,0.000575699438914258
食品饮料,0.0005248927062778598
通信,0.0005188557636859024
家电,0.0005041612928705184
基础化工,0.00033292101341278517
机械,0.0003229651279297443
电力设备及新能源,0.00031455175267720414
银行,0.00030998253537335057
纺织服装,0.0002785279738542934
计算机,0.0002550972954579328
轻工制造,0.00024499072452746195
消费者服务,0.00014844195580100586
煤炭,0.00014531161971295003
nan,0.00014365469167104938
非银行金融,0.00010935923615391278
汽车,8.091514608572695e-05
传媒,7.99705490170709e-05
钢铁,7.98639216975257e-05
