INDUSTRY,HEAT
综合,0.0002975843463493175
有色金属,0.00027572834539355435
电子,0.0002597527856420321
电力及公用事业,0.0002512193031308175
基础化工,0.00024662416720509805
建材,0.00024302623836438975
医药,0.00023770310383508644
房地产,0.00023557048604933508
商贸零售,0.0002312111388934991
国防军工,0.00022996512789746437
nan,0.00022321546447658287
建筑,0.0002192453365012524
农林牧渔,0.0002135610972315869
交通运输,0.00020749019647514023
轻工制造,0.00020660611442904027
煤炭,0.00020446711688848818
石油石化,0.00020030030229180096
纺织服装,0.00019299654673332397
机械,0.00018605177892509186
电力设备及新能源,0.00017910801176887887
食品饮料,0.00016613546358096664
通信,0.0001554472694392642
计算机,0.00015118520527945058
家电,0.00014148584592628947
银行,0.00014059773190829532
消费者服务,0.00012979322288670837
钢铁,9.503480163401893e-05
传媒,7.932368306846427e-05
非银行金融,7.42813897577496e-05
汽车,6.298138843487098e-05
