INDUSTRY,HEAT
综合,0.0034231266801957524
商贸零售,0.002776791035732448
医药,0.0024414215414785808
电力及公用事业,0.0016703076692764446
有色金属,0.0016467215013072503
建材,0.0015732037798411105
电子,0.0015387225290890046
国防军工,0.0013603891448502885
建筑,0.001284310021711694
交通运输,0.0011707817204043606
农林牧渔,0.0011696347367019262
房地产,0.001128013116495669
石油石化,0.0010394403336204375
通信,0.0010079314355244205
食品饮料,0.0010045547040923755
家电,0.0009666913031959192
银行,0.0005328155246840706
基础化工,0.00040757651968403684
轻工制造,0.00038417460303340504
纺织服装,0.00030793813836816074
电力设备及新能源,0.00029119073771032304
机械,0.00028998514519042954
计算机,0.000224654333908067
nan,0.0001898855124600711
煤炭,0.00015959988765101632
消费者服务,0.0001458973737780699
传媒,0.00010170973682141081
非银行金融,9.643456876037523e-05
钢铁,9.246500028959242e-05
汽车,8.614478365217075e-05
