INDUSTRY,HEAT
基础化工,0.00033773067215485294
电力设备及新能源,0.00030288545290862176
机械,0.00029649649324147646
纺织服装,0.00027138428749059725
轻工制造,0.00025944753638549987
计算机,0.0002231860872195899
消费者服务,0.0001856862068751281
房地产,0.00016408410511312567
有色金属,0.00015280947603133008
综合,0.0001498032953474545
医药,0.00013969358942376444
电力及公用事业,0.00013510352082566132
煤炭,0.00013281968891770614
建材,0.00012537915280631736
石油石化,0.00012486394173524126
非银行金融,0.00012280480807007855
电子,0.00012186071330650993
食品饮料,0.00011799326319743023
商贸零售,0.00011163043615698435
银行,0.00011084011458248607
国防军工,0.00010857230948762635
nan,0.00010823056261183734
建筑,0.00010013574972645483
农林牧渔,9.485312264728203e-05
交通运输,8.869780877441687e-05
钢铁,8.756940369281164e-05
通信,7.750439780107016e-05
家电,6.71667210529277e-05
汽车,6.555391320078017e-05
传媒,5.9150826734192194e-05
