INDUSTRY,HEAT
基础化工,0.00031695238921177805
综合,0.00028401152888795023
建筑,0.0002680736649247308
电子,0.00024878496013215845
有色金属,0.00024451696120333125
机械,0.00024237130978398358
医药,0.00023869966582023243
纺织服装,0.00023738860279754538
建材,0.00023601542518610714
电力设备及新能源,0.0002326408466698997
轻工制造,0.00022985915738957783
电力及公用事业,0.00022502435594974162
商贸零售,0.00021349440085753442
房地产,0.00020503372595858716
国防军工,0.00020493439088892286
石油石化,0.0002024188737109553
nan,0.000196404761988193
交通运输,0.00019194866483873504
计算机,0.00017192518218864152
农林牧渔,0.00017127814674071495
煤炭,0.00017126265727123507
食品饮料,0.00015762787577285829
消费者服务,0.00014925624154595474
通信,0.00014309946856446752
家电,0.00013942829871063344
银行,0.00013232889649807196
传媒,7.942687642492018e-05
非银行金融,7.715349679031394e-05
钢铁,7.10738756243388e-05
汽车,6.468682708650701e-05
