INDUSTRY,HEAT
电力设备及新能源,0.00022163544319985835
计算机,0.00021619752508979638
机械,0.0002146742319779191
基础化工,0.0002126594517872359
轻工制造,0.0001957329916022657
纺织服装,0.00017194716945175274
消费者服务,0.00016487360435376523
房地产,0.00015844565789920653
煤炭,0.00013284006682235826
有色金属,0.00012776415779290598
电子,0.00011336277276261233
综合,0.0001111871377228975
电力及公用事业,0.00010844188384012137
医药,0.00010599960223007084
银行,0.00010575335056349012
食品饮料,0.00010018165317257581
nan,9.931391879136232e-05
石油石化,9.91110138644061e-05
国防军工,9.849155128260319e-05
钢铁,9.261470154679996e-05
商贸零售,8.693617085039974e-05
建材,8.580751808353503e-05
交通运输,8.061251167853096e-05
非银行金融,7.933022001968781e-05
建筑,7.635073512228188e-05
农林牧渔,7.591912390799688e-05
传媒,7.158000368863578e-05
通信,5.874154689053235e-05
汽车,5.818802410993906e-05
家电,5.219995378306524e-05
