INDUSTRY,HEAT
nan,0.00035484523997880425
基础化工,0.00023674528791261463
轻工制造,0.0002143498614596957
电力设备及新能源,0.00021196174168489835
机械,0.00019773002743424668
纺织服装,0.00019720217237640953
计算机,0.00018029999121919876
房地产,0.00015224356775578465
综合,0.00014386938013137243
医药,0.00014273951253589588
电子,0.00013484059403647857
有色金属,0.00012997969875608843
消费者服务,0.00012844112763450667
煤炭,0.00012429389188159178
商贸零售,0.00011693999531488635
银行,0.00011433317671153667
建材,0.00010958372099408937
石油石化,0.00010818858270886781
建筑,0.00010568642938178237
电力及公用事业,0.0001048691111726286
国防军工,0.00010184240330763604
钢铁,9.221773377821995e-05
食品饮料,9.137353156852206e-05
交通运输,8.397264735401748e-05
农林牧渔,8.38310557736272e-05
家电,7.901486212784164e-05
传媒,7.57332695886183e-05
非银行金融,6.783357179826225e-05
通信,6.151996356698172e-05
汽车,5.649924727116972e-05
