INDUSTRY,HEAT
基础化工,0.00025993584428388503
轻工制造,0.00022254110811110872
纺织服装,0.00021940851881695547
电力设备及新能源,0.00019138181169142514
机械,0.00016083412733870436
计算机,0.00014488985781736466
有色金属,0.00014478710026923132
煤炭,0.00014054725242253546
房地产,0.00013666126064031098
医药,0.00013220440182254483
消费者服务,0.00013097079192824187
综合,0.00011377396346832469
石油石化,0.00011352998881324049
电子,0.00010256705859304397
银行,9.795138627377987e-05
电力及公用事业,9.719736055504002e-05
建材,9.187298284246413e-05
商贸零售,8.265983103242477e-05
非银行金融,8.260528515403984e-05
国防军工,8.229620482646413e-05
nan,8.206433115943933e-05
农林牧渔,8.063675767779228e-05
食品饮料,8.00033350116914e-05
建筑,7.942483182118575e-05
钢铁,7.862868256488376e-05
交通运输,6.963379098708857e-05
通信,6.674160516704282e-05
传媒,6.416445574163444e-05
家电,5.40288763261069e-05
汽车,5.2684984030562694e-05
