INDUSTRY,HEAT
基础化工,0.00020905926240362302
电力设备及新能源,0.00018708135805279693
轻工制造,0.00018260676122871502
机械,0.00016188562047518055
医药,0.000161782138345516
纺织服装,0.0001572851160699509
消费者服务,0.00015601741837166234
房地产,0.0001486557273495162
综合,0.00014591284587125032
商贸零售,0.00013064722429897085
计算机,0.00012908485857978153
食品饮料,0.00011969776804917334
电子,0.00011737737472884095
银行,0.00011306769226791128
电力及公用事业,0.00010861374496714263
石油石化,0.00010460123274879578
建筑,9.545869995065408e-05
交通运输,9.172858866717009e-05
钢铁,9.12759173338867e-05
nan,9.080946842415997e-05
国防军工,8.766181113909728e-05
煤炭,8.717734865284896e-05
有色金属,8.611279177318385e-05
建材,8.174890651410006e-05
非银行金融,8.138929240334621e-05
传媒,7.795785379752031e-05
农林牧渔,7.329908819288255e-05
通信,6.548581295586143e-05
汽车,5.828593254568275e-05
家电,5.682611835933881e-05
