INDUSTRY,HEAT
基础化工,0.00035921236512030446
机械,0.0003182025066953093
电力设备及新能源,0.00031561360233477165
纺织服装,0.0002947289654823627
轻工制造,0.00024976585812187444
计算机,0.0002040502787164676
消费者服务,0.0001806825784050817
nan,0.00015884851666173727
医药,0.00014686027400495389
综合,0.00014306021926825988
煤炭,0.00014186774163601386
房地产,0.00013684332933664107
有色金属,0.00013057532921724867
电力及公用事业,0.00012399599504866625
银行,0.00012117284432632713
电子,0.00011887475895292972
建筑,0.00011837420261245028
国防军工,0.00011461340136849932
钢铁,0.00010493897899631197
农林牧渔,0.00010459637444111292
建材,0.00010429178004617145
商贸零售,0.00010128505179205334
石油石化,9.969738551460504e-05
交通运输,9.426407340700758e-05
非银行金融,9.327785987533896e-05
食品饮料,7.768299052136727e-05
通信,7.506352053257263e-05
家电,6.582125742488426e-05
汽车,6.289343471540257e-05
传媒,4.578408174356015e-05
