INDUSTRY,HEAT
基础化工,0.00024142737139942576
电力设备及新能源,0.00021967339655955698
机械,0.0002169439592441247
轻工制造,0.0002022481747174608
纺织服装,0.0001975332578718441
计算机,0.00018462382443788965
消费者服务,0.00015223946479679386
综合,0.000143921110232197
房地产,0.00014169402805777232
医药,0.00013581890130006784
商贸零售,0.00013208849666120897
煤炭,0.00013045160116277417
银行,0.0001237457051891652
国防军工,0.00011914539633762857
电力及公用事业,0.00011713101212861899
有色金属,0.00011691702553604584
电子,0.00011455613572224264
石油石化,0.00010803119880749561
建材,0.00010733534005579666
食品饮料,0.0001071998926822215
nan,0.00010528747398491116
建筑,9.986131138543596e-05
交通运输,9.319998736238073e-05
农林牧渔,8.529772335640661e-05
钢铁,7.919906189216931e-05
非银行金融,7.873087464836933e-05
传媒,6.940095213876168e-05
家电,6.719613933311269e-05
通信,6.699210739535481e-05
汽车,6.339838140109329e-05
