INDUSTRY,HEAT
综合,0.0025135860540603143
商贸零售,0.002056003503856478
医药,0.0018049082139459697
有色金属,0.0012396716846125293
电力及公用事业,0.0012368105851998086
建材,0.001166897692978852
电子,0.0011452582851466193
国防军工,0.0010508342482805065
建筑,0.0009657333123704483
农林牧渔,0.0008685619197731797
交通运输,0.000865514289510892
房地产,0.0008270154417182184
石油石化,0.0007731264166024867
食品饮料,0.0007510943821878968
通信,0.0007447148806859412
家电,0.0007150947030810765
银行,0.0004000486968547756
基础化工,0.00032032566794300136
轻工制造,0.000279977891251064
纺织服装,0.00024997334676651645
机械,0.0002481405565167361
电力设备及新能源,0.00023990673428318337
计算机,0.00019562471546093684
消费者服务,0.00015808757964239504
煤炭,0.00013708459894207401
非银行金融,0.00010857833142555032
nan,0.0001011035131310084
传媒,9.073379585599326e-05
钢铁,7.915007988860651e-05
汽车,7.332995392033212e-05
