INDUSTRY,HEAT
基础化工,0.00034186607454254534
纺织服装,0.00028651135449280613
轻工制造,0.000261185678093623
机械,0.00023107997897223208
电力设备及新能源,0.00022340980466404353
计算机,0.0001822979243082803
消费者服务,0.0001776351075497432
医药,0.0001410223505231835
综合,0.00013240311849169198
银行,0.00012956635739666084
电子,0.00012891839444263844
房地产,0.00012888936442401525
nan,0.0001230711211809665
煤炭,0.00011664939697441471
石油石化,0.00011583103610205724
电力及公用事业,0.00011372161375996991
建材,0.00011365063537959318
有色金属,0.00011355603932968051
商贸零售,0.00011325843859037222
国防军工,0.00010581129491656732
食品饮料,0.00010206147378282135
非银行金融,9.61144501986154e-05
建筑,9.471068292155163e-05
农林牧渔,8.998419480205469e-05
交通运输,8.793060219227775e-05
钢铁,8.645604495944868e-05
传媒,7.281337722699513e-05
通信,7.217196522466855e-05
家电,7.157892822269537e-05
汽车,5.8461194273695724e-05
