INDUSTRY,HEAT
基础化工,0.0004873751441186911
综合,0.00036177800986622854
电子,0.0003487377409443724
纺织服装,0.0003336364137059224
有色金属,0.0003226309161174324
轻工制造,0.0003201903230021923
医药,0.0003137603067818611
电力及公用事业,0.00029884028308786216
建材,0.0002945252730787116
商贸零售,0.00028341527246016155
机械,0.0002711442556502299
电力设备及新能源,0.00026133225667427073
建筑,0.0002587651215658807
房地产,0.0002551419106809619
国防军工,0.00025401246905144614
交通运输,0.0002505497945904011
nan,0.0002454904628693633
石油石化,0.00024249977901923857
食品饮料,0.00023117314184574228
农林牧渔,0.00021853502867119574
消费者服务,0.00021797701683487277
煤炭,0.00021648357859550393
计算机,0.0002065567027860519
通信,0.00019131436954999883
家电,0.00018041139854880713
银行,0.0001356267194175053
钢铁,0.00010870308950719566
汽车,0.00010159792373341917
非银行金融,8.46773305712762e-05
传媒,8.063443573976171e-05
