INDUSTRY,HEAT
综合,0.003245694541008289
商贸零售,0.002630728719208017
医药,0.0023190715718258807
电力及公用事业,0.001574753604228965
有色金属,0.001562650960633722
建材,0.0014877444385058526
电子,0.001453855875630872
国防军工,0.00128980052059585
建筑,0.0012136700318751011
农林牧渔,0.0010971103152504112
交通运输,0.0010951265957882177
房地产,0.0010662364269735762
石油石化,0.0009812237365440378
通信,0.0009507820045162129
食品饮料,0.0009491543830537676
家电,0.0009092515908959085
银行,0.0005004496140214711
基础化工,0.0003340352008691949
轻工制造,0.0002975874132255043
机械,0.000271732439782426
电力设备及新能源,0.00026390941161021694
计算机,0.00025249943316834255
纺织服装,0.000247648993095585
nan,0.00020069892257837033
煤炭,0.00014184230886721226
消费者服务,0.0001382725426162469
传媒,0.00010611757414906109
非银行金融,8.893741111766067e-05
钢铁,8.06638900764086e-05
汽车,7.33716117165761e-05
