INDUSTRY,HEAT
基础化工,0.00046852216189897846
纺织服装,0.00040409585716261794
机械,0.00039716159528151634
电力设备及新能源,0.00038639615033459574
轻工制造,0.00030499455677972313
计算机,0.00023363398464866438
nan,0.00020751799751787283
消费者服务,0.00017892324545765214
综合,0.00017224083476736628
有色金属,0.0001656007875067736
医药,0.0001589334477908537
房地产,0.0001532092433299451
电子,0.00014644773199990792
建材,0.00013393884309348858
建筑,0.0001337675698790522
非银行金融,0.00013189414812018205
食品饮料,0.00013079598781626489
商贸零售,0.00012753599447575296
国防军工,0.00012652168631379902
电力及公用事业,0.0001179529938469767
煤炭,0.0001109019173527236
银行,0.00010140648177644091
传媒,0.0001013427334031905
钢铁,9.766948769989848e-05
交通运输,8.986915328232679e-05
农林牧渔,8.889690807078562e-05
石油石化,8.857397563310257e-05
通信,8.071302771048734e-05
家电,7.114812082407216e-05
汽车,6.266397882918254e-05
