INDUSTRY,HEAT
基础化工,0.00033163873155311896
综合,0.0002958447105346182
电子,0.00026442168516233413
有色金属,0.0002626667839451931
机械,0.00026228847714581223
电力设备及新能源,0.00026114102487969444
纺织服装,0.0002586693374872229
轻工制造,0.00025599494257778335
医药,0.00024215390171794797
电力及公用事业,0.00023837369794313864
国防军工,0.00023381270022913278
房地产,0.00022721571243215072
建材,0.000226893510667234
商贸零售,0.00021944866667881864
建筑,0.00021234998505939971
交通运输,0.00020186497162383621
煤炭,0.0001904971873023497
nan,0.00018785951196807424
石油石化,0.00018702279723279008
农林牧渔,0.00017516215287536197
计算机,0.00016793489337499167
家电,0.00014881577692020238
通信,0.00014821089954193822
食品饮料,0.00014669739825590525
银行,0.00013871060476137185
消费者服务,0.00013217297733352174
传媒,8.296146205433793e-05
钢铁,8.089718011215782e-05
非银行金融,7.474685486822964e-05
汽车,7.209578463816208e-05
