INDUSTRY,HEAT
综合,0.0010034628299603536
电力及公用事业,0.0008788975536182861
有色金属,0.0008539724462024336
建材,0.0008076223435148734
电子,0.0008048997085004306
商贸零售,0.0007842023660384863
交通运输,0.0007585543567842346
医药,0.0007305944575230505
国防军工,0.0007149408112245109
建筑,0.0006748830488006207
农林牧渔,0.0006056916904226477
房地产,0.0005989601828444184
石油石化,0.0005689033044471735
食品饮料,0.0005319811613565551
通信,0.000514022790422527
家电,0.0005072877878269099
煤炭,0.00044024929161005813
银行,0.0003013776023626121
基础化工,0.00028316945230598075
轻工制造,0.0002662136458804676
纺织服装,0.00024974234229195683
电力设备及新能源,0.00018842753823334338
机械,0.00016285392443752433
计算机,0.00015343305526811373
nan,0.00013279950738105429
消费者服务,0.00011322821575638663
传媒,8.509811691275037e-05
汽车,7.757965232144462e-05
钢铁,7.554407693160996e-05
非银行金融,7.48935267819089e-05
