INDUSTRY,HEAT
基础化工,0.0003235514992687
综合,0.00029705397932567527
电子,0.0002908416592047338
机械,0.0002550989301124385
有色金属,0.00025505942195582247
纺织服装,0.0002507161454599321
电力设备及新能源,0.00025054404996048926
轻工制造,0.0002463337031761667
医药,0.00024108170923430036
电力及公用事业,0.00023438062501010906
商贸零售,0.0002254240727926655
建材,0.00022062180063766974
国防军工,0.0002150739152911066
房地产,0.00020902603606300272
建筑,0.00020176680418968927
nan,0.0001939111363710584
交通运输,0.00018689506862047117
煤炭,0.00018359305904835905
食品饮料,0.0001821054301936633
计算机,0.0001795467691779506
农林牧渔,0.00017570956033150311
消费者服务,0.0001695288594195722
石油石化,0.00016839920207976664
通信,0.00016178832782770306
家电,0.00014378506822542683
银行,0.00012211163886796916
钢铁,0.00010747450376289215
汽车,0.00010437323711122026
传媒,7.398227599594382e-05
非银行金融,7.208011931971627e-05
