INDUSTRY,HEAT
机械,0.0003088731138486092
电力设备及新能源,0.00029526510185269654
基础化工,0.0002501613800847405
计算机,0.00021587843767920383
综合,0.0002107678716219338
纺织服装,0.0001986792643664929
nan,0.00018984136153328508
有色金属,0.00017711781591694706
医药,0.00017444229097331735
轻工制造,0.00017289338446859143
商贸零售,0.0001650545941174896
煤炭,0.00016056742051246607
电力及公用事业,0.0001587628554522385
电子,0.00015252253106367138
房地产,0.0001481935362877185
建筑,0.00014738993027298543
消费者服务,0.00014245961758999634
国防军工,0.00014002957720490872
农林牧渔,0.00013451729800327222
石油石化,0.00013064976953410228
建材,0.00012602836681174727
银行,0.00012408815514879028
交通运输,0.00012328950672080836
食品饮料,0.00010580932321478269
通信,8.823085492918318e-05
非银行金融,8.564194041440942e-05
家电,8.22680732082921e-05
钢铁,7.878434869908898e-05
传媒,7.395190504910853e-05
汽车,6.361125561590428e-05
