INDUSTRY,HEAT
综合,0.0003094811373474245
有色金属,0.00028403335036083696
电力及公用事业,0.0002637472639412703
煤炭,0.0002565480558669889
电子,0.0002542037159125228
医药,0.00024676112971908965
建材,0.00024138191353425867
基础化工,0.00023980442185131038
商贸零售,0.0002356178645323617
房地产,0.00023467674915621464
nan,0.0002329536119065753
建筑,0.00022496721855421185
国防军工,0.00021686628982266196
石油石化,0.00020833691043465114
交通运输,0.00020658586302365752
轻工制造,0.00020039354480492434
计算机,0.00019084557462923269
农林牧渔,0.00018781836114272182
纺织服装,0.00017715215617710003
机械,0.00017627651451915564
电力设备及新能源,0.00017172790469960803
食品饮料,0.00016601760773658503
消费者服务,0.00015054387617165273
家电,0.00014679272692952986
通信,0.00014391097240859773
银行,0.00013309894568492176
传媒,0.00010261970643794167
钢铁,8.134531785169837e-05
非银行金融,7.474466678622071e-05
汽车,6.521123483643563e-05
