INDUSTRY,HEAT
nan,203.26090697433244
计算机,197.21059449043764
非银行金融,184.25383335196972
银行,178.55810013633018
综合,174.67963947010793
机械,163.19173511746695
电子,161.09968399103226
有色金属,157.38671374821672
汽车,148.77699400344508
基础化工,147.56496861822217
建筑,127.97970771568924
煤炭,122.70715752520347
商贸零售,120.25469700973781
电力设备及新能源,119.52425185998426
农林牧渔,118.26677049140379
房地产,106.56807714147926
交通运输,104.26970475989478
消费者服务,96.5542576550272
电力及公用事业,95.31619812279553
医药,87.92360327697826
通信,83.80317305287092
石油石化,82.6533302806243
钢铁,74.81177811325136
食品饮料,70.42331703524356
传媒,69.22709346731018
国防军工,57.26837831130471
纺织服装,49.878694086035914
家电,41.64679939385314
建材,36.8826821978796
轻工制造,36.82587069953307
