INDUSTRY,HEAT
机械,382.4583754775429
非银行金融,374.64047105165963
基础化工,364.72362364050485
银行,327.6620098998141
综合,324.7241531061322
计算机,313.07466947394187
建筑,264.97283305125706
电力设备及新能源,264.5932728087148
nan,256.65098771002533
交通运输,238.59366058624815
有色金属,231.1100008727002
电子,227.010494976338
消费者服务,205.01326558374026
医药,200.90213958328766
煤炭,200.44678457929044
电力及公用事业,174.52941030479036
汽车,170.35425741864404
通信,167.72881915976893
农林牧渔,162.31995109012473
房地产,157.1304706554797
家电,145.2168174992224
钢铁,144.67653783643433
商贸零售,136.65846199452793
石油石化,127.66422410443195
传媒,110.84374159915785
纺织服装,104.67163603333053
食品饮料,100.02840528538833
国防军工,98.5389762958827
轻工制造,67.19790834805669
建材,65.70848324349647
