INDUSTRY,HEAT
基础化工,401.30185662119544
机械,315.38188536893574
综合,301.8889034252314
银行,249.66350756546075
建筑,235.43555343564486
电力设备及新能源,233.9751945665433
非银行金融,231.97565925801592
nan,218.32442702726962
交通运输,206.39697740076062
计算机,206.007106106086
有色金属,201.1724171629259
电子,164.8164382152106
煤炭,143.9252926240832
医药,142.08427464064158
电力及公用事业,135.991335824944
石油石化,134.92231725268454
消费者服务,121.58462408141345
农林牧渔,118.22933623868597
房地产,115.187956778757
汽车,112.03904270106496
家电,106.86913002528775
纺织服装,98.94786029854131
钢铁,95.17462354505597
通信,94.27510986097366
商贸零售,89.95375151788855
传媒,80.99024714888112
食品饮料,78.63175526340784
国防军工,74.92474654683157
建材,59.08357943844732
轻工制造,52.83466283676928
