INDUSTRY,HEAT
nan,211.4352796936342
非银行金融,197.24372684182808
银行,192.33726178105522
交通运输,170.26021056049157
基础化工,164.28858594358113
有色金属,161.36222495035682
综合,157.4084085503177
建筑,145.8021803677216
计算机,140.58396329453402
石油石化,135.90460195740496
煤炭,135.7293901839593
电子,134.72801954282866
机械,122.73469747884786
农林牧渔,110.8327540704658
电力设备及新能源,103.48677553723284
消费者服务,101.15484153692802
房地产,100.84239538966551
电力及公用事业,98.70658692222611
汽车,94.6482623839761
钢铁,87.70530249197392
医药,80.6980978956646
通信,75.26113173310135
国防军工,75.10133636561433
传媒,71.60074903964713
商贸零售,68.56528750191596
食品饮料,55.98845043499952
纺织服装,55.87149500062299
家电,48.09994529037531
建材,40.355467313416504
轻工制造,36.65359730708764
