INDUSTRY,HEAT
银行,235.63107475068483
nan,221.37115700244118
非银行金融,219.91173829274342
建筑,216.90048495687626
有色金属,202.03554313367158
综合,198.87156932729357
基础化工,188.52326269496336
计算机,185.28916266555933
机械,182.99125274181822
交通运输,179.16402842560663
电子,159.96211386188313
石油石化,145.1822873978141
煤炭,141.83567283712472
电力设备及新能源,132.11566728593021
农林牧渔,124.36926732914536
电力及公用事业,118.57638194457016
房地产,114.76910362868846
消费者服务,114.30934452106565
汽车,109.84321490278319
医药,98.25213185910674
商贸零售,94.46406253292294
钢铁,87.89388753574144
通信,82.57977381924414
纺织服装,79.84939336406345
传媒,73.60439681397985
食品饮料,66.71573340122164
家电,64.45657999303937
国防军工,63.411280167052546
轻工制造,48.14862763632879
建材,47.0883797859097
