INDUSTRY,HEAT
非银行金融,142.7900338024683
机械,140.76603156123076
银行,134.65107347511864
综合,121.20035649296632
计算机,119.35880183485999
基础化工,117.4577611044197
有色金属,107.24435008067498
nan,104.69054574346522
电子,101.6758010282674
建筑,98.09923900426365
煤炭,88.6497804532133
电力设备及新能源,85.08507344455525
交通运输,74.08108789958847
农林牧渔,73.62655513836062
房地产,71.98820739948984
汽车,71.29268994099067
传媒,69.86509371804576
医药,68.47157660295726
消费者服务,66.71763911105606
石油石化,64.80133878661495
电力及公用事业,60.24422230720855
钢铁,59.05394564900398
商贸零售,57.79117986521748
通信,54.73108459606405
国防军工,44.87322111603247
食品饮料,40.431586681318876
家电,40.13162394452963
纺织服装,37.130322856053105
轻工制造,29.583339180701223
建材,27.227192102642594
