INDUSTRY,HEAT
基础化工,275.0141619886962
银行,273.9657477005287
非银行金融,264.6285085003104
机械,253.6818420927538
nan,245.9857432133347
建筑,233.74596329744205
有色金属,232.89169631657887
综合,230.62866863827878
交通运输,226.26391940814395
计算机,211.7282193150875
煤炭,188.76058107571097
电力设备及新能源,184.78581738611192
电子,181.06658122717604
石油石化,169.83357694541698
房地产,147.60736121503464
农林牧渔,137.51199992035663
医药,135.3580441499555
电力及公用事业,134.20380328804515
消费者服务,131.82155640825445
汽车,130.71645014858646
钢铁,110.79728336202334
通信,106.51463477632312
家电,95.65243779876536
商贸零售,89.42092550442213
传媒,85.3628421237418
纺织服装,83.28155162335845
国防军工,79.23381078242613
食品饮料,76.18022730247004
建材,69.55362048709533
轻工制造,58.76349796071099
